id,points_of_interest
0110,27
0120,4
0130,1
0140,3
0210,3
0220,10
0230,6
0240,4
0250,5
0340,3
0350,2
0360,5
0370,7
0420,2
0430,10
0440,2
0450,6
0510,2
0610,2
0630,1
0640,2
0710,3
0720,2
0730,3
0740,3
0810,7
0910,1
0920,1
0940,4
1010,1
1130,3
1140,1
1220,1
1240,1
1250,1
