id,points_of_interest
0110,330
0120,85
0130,48
0140,79
0210,39
0220,117
0230,99
0240,25
0250,120
0310,3
0320,11
0330,5
0340,33
0350,20
0360,107
0370,113
0410,2
0420,19
0430,164
0440,21
0450,186
0510,24
0520,19
0530,4
0540,10
0610,45
0620,10
0630,25
0640,43
0710,79
0720,71
0730,26
0740,28
0750,13
0760,10
0810,195
0820,10
0830,6
0840,5
0910,22
0920,27
0930,11
0940,10
0950,9
1010,16
1020,7
1030,7
1040,7
1110,2
1120,9
1130,23
1140,22
1150,11
1210,14
1220,19
1240,12
1250,5
1260,6
