id,points_of_interest
0000,17
0110,110
0120,20
0130,41
0140,69
0210,7
0220,37
0230,40
0240,14
0250,62
0310,2
0320,1
0340,8
0350,12
0360,40
0370,40
0420,4
0430,33
0440,2
0450,35
0510,3
0520,5
0530,1
0610,8
0620,3
0630,5
0710,37
0720,22
0730,10
0740,4
0750,2
0760,1
0810,117
0820,3
0830,2
0840,1
0910,5
0920,14
0930,1
0940,6
0950,4
1010,8
1020,10
1110,2
1120,6
1130,13
1140,12
1150,2
1210,14
1220,13
1240,3
1250,5
1260,3
